Var1,m,dm,dy,h,mi,G_Gh,hs,G_Gex,G_Gh_hr,G_Dh,G_Gk,G_Dk,G_Bn,Ta,FF,G_Gcs,Td,PVprod,price,co2int
2,2,11,42,0,0,0,-54.4,0,0,0,0,0,0,-5.9,3.2,0,-7.9,0,4.11883997785161,356.860047820065
2,2,11,42,0,1,0,-54.1,0,0,0,0,0,0,-5.9,3.2,0,-8,0,4.11830568797837,356.859213446347
2,2,11,42,0,2,0,-54.1,0,0,0,0,0,0,-5.9,3.1,0,-8,0,4.11777139810513,356.85837907263
2,2,11,42,0,3,0,-54.1,0,0,0,0,0,0,-5.9,3.1,0,-8,0,4.11723710823189,356.857544698912
2,2,11,42,0,4,0,-54.1,0,0,0,0,0,0,-5.9,3,0,-8,0,4.11670281835865,356.856710325194
2,2,11,42,0,5,0,-54.2,0,0,0,0,0,0,-5.9,3,0,-8,0,4.11616852848541,356.855875951477
2,2,11,42,0,6,0,-54.2,0,0,0,0,0,0,-5.9,2.9,0,-8,0,4.11563423861218,356.855041577759
2,2,11,42,0,7,0,-54.2,0,0,0,0,0,0,-5.9,2.9,0,-8,0,4.11509994873894,356.854207204042
2,2,11,42,0,8,0,-54.2,0,0,0,0,0,0,-5.9,2.8,0,-8,0,4.1145656588657,356.853372830324
2,2,11,42,0,9,0,-54.2,0,0,0,0,0,0,-5.9,2.8,0,-8,0,4.11403136899246,356.852538456606
2,2,11,42,0,10,0,-54.2,0,0,0,0,0,0,-5.9,2.7,0,-8,0,4.11349707911922,356.851704082889
2,2,11,42,0,11,0,-54.2,0,0,0,0,0,0,-5.9,2.7,0,-8,0,4.11296278924598,356.850869709171
2,2,11,42,0,12,0,-54.2,0,0,0,0,0,0,-5.9,2.6,0,-8,0,4.11242849937274,356.850035335453
2,2,11,42,0,13,0,-54.2,0,0,0,0,0,0,-5.9,2.6,0,-8,0,4.11189420949951,356.849200961736
2,2,11,42,0,14,0,-54.2,0,0,0,0,0,0,-5.9,2.5,0,-8,0,4.11135991962627,356.848366588018
2,2,11,42,0,15,0,-54.3,0,0,0,0,0,0,-5.9,2.5,0,-8,0,4.11082562975303,356.8475322143
2,2,11,42,0,16,0,-54.3,0,0,0,0,0,0,-5.9,2.4,0,-8,0,4.11029133987979,356.846697840583
2,2,11,42,0,17,0,-54.3,0,0,0,0,0,0,-5.9,2.4,0,-8,0,4.10975705000655,356.845863466865
2,2,11,42,0,18,0,-54.3,0,0,0,0,0,0,-5.9,2.3,0,-8,0,4.10922276013331,356.845029093148
2,2,11,42,0,19,0,-54.3,0,0,0,0,0,0,-5.9,2.3,0,-8,0,4.10868847026008,356.84419471943
2,2,11,42,0,20,0,-54.3,0,0,0,0,0,0,-5.9,2.2,0,-8,0,4.10815418038684,356.843360345712
2,2,11,42,0,21,0,-54.3,0,0,0,0,0,0,-5.9,2.2,0,-8,0,4.1076198905136,356.842525971995
2,2,11,42,0,22,0,-54.2,0,0,0,0,0,0,-5.9,2.1,0,-8,0,4.10708560064036,356.841691598277
2,2,11,42,0,23,0,-54.2,0,0,0,0,0,0,-5.9,2.1,0,-8,0,4.10655131076712,356.840857224559
2,2,11,42,0,24,0,-54.2,0,0,0,0,0,0,-5.9,2,0,-8,0,4.10601702089388,356.840022850842
2,2,11,42,0,25,0,-54.2,0,0,0,0,0,0,-5.9,2,0,-8,0,4.10548273102064,356.839188477124
2,2,11,42,0,26,0,-54.2,0,0,0,0,0,0,-5.9,1.9,0,-8,0,4.10494844114741,356.838354103406
2,2,11,42,0,27,0,-54.2,0,0,0,0,0,0,-5.9,1.9,0,-8,0,4.10441415127417,356.837519729689
2,2,11,42,0,28,0,-54.2,0,0,0,0,0,0,-5.9,1.8,0,-8,0,4.10387986140093,356.836685355971
2,2,11,42,0,29,0,-54.2,0,0,0,0,0,0,-5.9,1.8,0,-8,0,4.10334557152769,356.835850982253
2,2,11,42,0,30,0,-54.2,0,0,0,0,0,0,-5.9,1.7,0,-8,0,4.10281128165445,356.835016608536
2,2,11,42,0,31,0,-54.2,0,0,0,0,0,0,-5.9,1.7,0,-8,0,4.10227699178121,356.834182234818
2,2,11,42,0,32,0,-54.1,0,0,0,0,0,0,-5.9,1.7,0,-8,0,4.10174270190798,356.833347861101
2,2,11,42,0,33,0,-54.1,0,0,0,0,0,0,-5.9,1.7,0,-8,0,4.10120841203474,356.832513487383
2,2,11,42,0,34,0,-54.1,0,0,0,0,0,0,-5.9,1.7,0,-8,0,4.1006741221615,356.831679113665
2,2,11,42,0,35,0,-54.1,0,0,0,0,0,0,-5.9,1.8,0,-8,0,4.10013983228826,356.830844739948
2,2,11,42,0,36,0,-54.1,0,0,0,0,0,0,-5.9,1.8,0,-8,0,4.09960554241502,356.83001036623
2,2,11,42,0,37,0,-54,0,0,0,0,0,0,-5.9,1.8,0,-8,0,4.09907125254178,356.829175992512
2,2,11,42,0,38,0,-54,0,0,0,0,0,0,-6,1.8,0,-8,0,4.09853696266854,356.828341618795
2,2,11,42,0,39,0,-54,0,0,0,0,0,0,-6,1.8,0,-8,0,4.09800267279531,356.827507245077
2,2,11,42,0,40,0,-54,0,0,0,0,0,0,-6,1.8,0,-8,0,4.09746838292207,356.826672871359
2,2,11,42,0,41,0,-53.9,0,0,0,0,0,0,-6,1.9,0,-8,0,4.09693409304883,356.825838497642
2,2,11,42,0,42,0,-53.9,0,0,0,0,0,0,-6,1.9,0,-8,0,4.09639980317559,356.825004123924
2,2,11,42,0,43,0,-53.9,0,0,0,0,0,0,-6,1.9,0,-8,0,4.09586551330235,356.824169750207
2,2,11,42,0,44,0,-53.9,0,0,0,0,0,0,-6,1.9,0,-8,0,4.09533122342911,356.823335376489
2,2,11,42,0,45,0,-53.8,0,0,0,0,0,0,-6,1.9,0,-8,0,4.09479693355587,356.822501002771
2,2,11,42,0,46,0,-53.8,0,0,0,0,0,0,-6,1.9,0,-8.1,0,4.09426264368264,356.821666629054
2,2,11,42,0,47,0,-53.8,0,0,0,0,0,0,-6,1.9,0,-8.1,0,4.0937283538094,356.820832255336
2,2,11,42,0,48,0,-53.7,0,0,0,0,0,0,-6,2,0,-8.1,0,4.09319406393616,356.819997881618
2,2,11,42,0,49,0,-53.7,0,0,0,0,0,0,-6,2,0,-8.1,0,4.09265977406292,356.819163507901
2,2,11,42,0,50,0,-53.7,0,0,0,0,0,0,-6,2,0,-8.1,0,4.09212548418968,356.818329134183
2,2,11,42,0,51,0,-53.6,0,0,0,0,0,0,-6,2,0,-8.1,0,4.09159119431644,356.817494760465
2,2,11,42,0,52,0,-53.6,0,0,0,0,0,0,-6,2,0,-8.1,0,4.09105690444321,356.816660386748
2,2,11,42,0,53,0,-53.5,0,0,0,0,0,0,-6,2,0,-8.1,0,4.09052261456997,356.81582601303
2,2,11,42,0,54,0,-53.5,0,0,0,0,0,0,-6,2,0,-8.1,0,4.08998832469673,356.814991639312
2,2,11,42,0,55,0,-53.5,0,0,0,0,0,0,-6,2.1,0,-8.1,0,4.08945403482349,356.814157265595
2,2,11,42,0,56,0,-53.4,0,0,0,0,0,0,-6,2.1,0,-8.1,0,4.08891974495025,356.813322891877
2,2,11,42,0,57,0,-53.4,0,0,0,0,0,0,-6,2.1,0,-8.1,0,4.08838545507701,356.81248851816
2,2,11,42,0,58,0,-53.3,0,0,0,0,0,0,-6,2.1,0,-8.1,0,4.08785116520377,356.811654144442
2,2,11,42,0,59,0,-53.3,0,0,0,0,0,0,-6,2.1,0,-8.1,0,4.08731687533054,356.810819770724
2,2,11,42,1,0,0,-53.2,0,0,0,0,0,0,-6,2.1,0,-8.1,0,4.0867825854573,356.809985397007
2,2,11,42,1,1,0,-53.2,0,0,0,0,0,0,-6,2.2,0,-8.1,0,4.08624829558406,356.809151023289
2,2,11,42,1,2,0,-53.1,0,0,0,0,0,0,-6,2.2,0,-8.1,0,4.08571400571082,356.808316649571
2,2,11,42,1,3,0,-53.1,0,0,0,0,0,0,-6,2.2,0,-8.1,0,4.08517971583758,356.807482275854
2,2,11,42,1,4,0,-53,0,0,0,0,0,0,-6,2.2,0,-8.1,0,4.08464542596434,356.806647902136
2,2,11,42,1,5,0,-53,0,0,0,0,0,0,-6,2.2,0,-8.1,0,4.08411113609111,356.805813528418
2,2,11,42,1,6,0,-52.9,0,0,0,0,0,0,-6,2.2,0,-8.1,0,4.08357684621787,356.804979154701
2,2,11,42,1,7,0,-52.9,0,0,0,0,0,0,-6,2.2,0,-8.1,0,4.08304255634463,356.804144780983
2,2,11,42,1,8,0,-52.8,0,0,0,0,0,0,-6,2.3,0,-8.1,0,4.08250826647139,356.803310407266
2,2,11,42,1,9,0,-52.8,0,0,0,0,0,0,-6,2.3,0,-8.1,0,4.08197397659815,356.802476033548
